Make	Model	MakeCode	FamilyCode	YearGroup	MonthGroup	SequenceNum	Description	CurrentRelease	ImportFlag	LimitedEdition	Series	SeriesModelYear	BadgeDescription	BadgeSecondaryDescription	BodyStyleDescription	BodyConfigDescription	WheelBaseConfig	Roofline	ExtraIdentification	DriveDescription	DriveCode	GearTypeDescription	GearLocationDescription	GearNum	DoorNum	EngineSize	EngineDescription	Cylinders	FuelTypeDescription	InductionDescription	OptionCategory	CamDescription	EngineTypeDescription	FuelCapacity	FuelDeliveryDescription	MethodOfDeliveryDescription	GrossCombinationMAss	GrossVehicleMass	VIN	WheelBase	Height	Length	Width	KerbWeight	TareMass	PayLoad	Power	PowerRPMFrom	PowerRPMTo	Torque	TorqueRPMFrom	TorqueRPMTo	RonRating	SeatCapacity	ModelCode	BuildCountryOriginDescription	ValvesCylinder	EngineCycleDescription	EngineConfigurationDescription	EngineLocation	EngineNum	Acceleration	FrontTyreSize	RearTyreSize	FrontRimDesc	RearRimDesc	TowingBrakes	TowingNoBrakes	WarrantyCustAssist	FreeScheduledService	WarrantyYears	WarrantyKM	FirstServiceKM	FirstServiceMonths	RegServiceMonths	AltEngEngineType	AltEngBatteryType	AltEngCurrentType	AltEngAmpHours	AltEngVolts	AltEngChargingMethod	AltEngPower	AltEngPowerFrom	AltEngPowerTo	AltEngTorque	AltEngTorqueFrom	AltEngTorqueTo	AltEngDrive	NormalChargeMins	QuickChargeMins	NormalChargeVoltage	QuickChargeVoltage	KMRangeElectricEng	ElectricEngineLocation	TopSpeedElectricEng	GreenhouseRating	AirpollutionRating	OverallGreenStarRating	CO2Combined	CO2Urban	CO2ExtraUrban	FuelUrban	FuelExtraurban	FuelCombined	EmissionStandard	MaxEthanolBlend	AncapRating	VFactsClass	VFactsSegment	VFactsPrice	IsPPlateApproved	AverageKM	GoodKM	AvgWholesale	AvgRetail	GoodWholesale	GoodRetail	TradeMin	TradeMax	PrivateMax	NewPrice	Colour	Branch	SaleCategory	Sold_Date	Compliance_Date	Age_Comp_Months	KM	Sold_Amount
Toyota	Landcruiser	TOYO	LANDCRU	2009	0	4	VDJ200R VX Wagon 8st 5dr Spts Auto 6sp 4x4 4.5DTT	F	L	F	VDJ200R	NULL	VX	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 Constant	4XC	Sports Automatic	Floor	6	5	4461	4.5	8	Diesel	Twin Turbo Intercooled	SUV	Double Overhead Cam	Piston	93	Direct Injection	Electronic	6800	3300	JTMHV09J#05######	2850	1905	4950	1970	2720	2610	580	195.00	NULL	3400	650	1600	2600	NULL	8	VDJ200R-GNTEZQ	JAPAN	4	4 Stroke	V90	Front	1VD-#######	NULL	285/65 R17	285/65 R17	17x8.0	17x8.0	3500	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.50	3.00	2.00	273	NULL	NULL	NULL	NULL	10.30	NULL	NULL	5	SUV	Upper Large	< $100K	F	200	120	38500	45250	42900	50250	35400	40100	46600	97000	Blue	Hobart (TAS)	Fixed Price	2017-07-17 00:00:00.000	10/2009	93	69536	59400.00
Toyota	Camry	TOYO	CAMRY	2015	4	6	ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i (Apr)	F	L	F	ASV50R	NULL	Altise	NULL	Sedan	NULL	NULL	NULL	Apr	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	2494	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3300	2100	6T1BF3FK90#######	2775	1470	4850	1835	1465	1420	635	133.00	NULL	6000	231	NULL	4100	91	5	ASV50R-DETDKQ	AUSTRALIA	4	4 Stroke	In-line	Front	2AR-#######	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	1200	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	183	255	142	10.90	6.00	7.80	Euro 4	E10	5	Passenger	Medium	< $60K	T	50	30	14250	17550	16000	19600	12500	14400	17800	26490	1F7 - Silver Pearl (T)	Belmore (NSW)	Dealer Only Auction	2017-06-14 00:00:00.000	06/2015	24	44119	15300.00
Audi	Q3	AUDI	Q3	2012	8	7	8U MY13 TFSI Wagon 5dr S tronic 7sp quattro 2.0T (125kW)	F	L	F	8U	MY13	TFSI	NULL	Wagon	NULL	NULL	NULL	125kW	Four Wheel Drive	4WD	Sports Automatic Dual Clutch	Floor	7	5	1984	2.0	4	Petrol - Premium ULP	Turbo Intercooled	SUV	Double Overhead Cam	Piston	64	Direct Injection	Electronic Sequential	3955	2155	WAUZZZ8UXDR######	2603	1590	4385	1831	1555	1555	600	125.00	4300	6200	280	1700	4200	95	5	8UB08Y/13	SPAIN	4	4 Stroke	In-line	Front	CCZ ######	8.20	235/55 R17	235/55 R17	17x7.0	17x7.0	1800	750	NULL	NULL	3	-1	15000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.00	7.50	4.00	179	235	148	10.20	6.40	7.70	Euro 5	NULL	5	SUV	Small	> $40K	T	130	80	21200	25500	23700	28300	19100	21700	26000	48950	Blue	Belmore (NSW)	Fixed Price	2017-01-04 00:00:00.000	12/2012	49	38999	27400.00
Toyota	Hilux	TOYO	HILUX	2005	3	45	GGN25R MY05 SR Utility Dual Cab 4dr Auto 5sp 4x4 1055kg 4.0i	F	L	F	GGN25R	MY05	SR	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4	4X4	Automatic	Floor	5	4	3956	4.0	6	Petrol - Unleaded ULP	Aspirated	CC	DOHC with VVT	Piston	76	Multi-Point Injection	Electronic Sequential	4750	2810	MR0FU22G100######	3085	1810	5130	1760	1755	1705	1055	175.00	NULL	5200	343	2400	4800	91	5	GGN25R-PRADKQ	THAILAND	4	4 Stroke	V60	Front	1GR-#######	NULL	205 R16 C	205 R16 C	16x6.0	16x6.0	2250	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	308	NULL	NULL	NULL	NULL	13.00	NULL	NULL	4	Light Commercial	PU/CC 4x4	NULL	T	360	240	9000	11800	11200	14200	7800	10100	12800	40530	White	Newcastle (NSW)	Auction	2016-08-17 00:00:00.000	06/2005	134	222075	11400.00
Holden	Commodore	HOLD	COMMODO	2015	0	0	VF MY15 Evoke Sedan 4dr. Spts Auto 6sp 3.0i	F	L	F	VF	MY15	Evoke	NULL	Sedan	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	4	2997	3.0	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	71	Direct Injection	Electronic Sequential	NULL	NULL	6G1FA5E##FL######	2915	1471	4947	1898	1622	1582	NULL	185.00	NULL	6700	290	NULL	2600	91	5	8EK69-178	AUSTRALIA	4	4 Stroke	V60	Front	L???###########	NULL	225/60 R16	225/60 R16	16x7.0	16x7.0	1600	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	8.50	4.50	198	270	156	11.30	6.50	8.30	Euro 4	E10	5	Passenger	Large	< $70K	T	50	30	15150	18650	17000	20750	13300	15300	18900	35490	Prussian Steel	Adelaide (SA)	Auction	2016-10-05 00:00:00.000	02/2015	20	90038	15000.00
Nissan	X-Trail	NISS	X-TRAIL	2013	0	1	T31 Series V ST Wagon 5dr CVT 1sp 2WD 2.0i	F	L	F	T31	Series V	ST	NULL	Wagon	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	1	5	1997	2.0	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	65	Multi-Point Injection	Electronic Sequential	4000	2000	JN1TBAT31A0######	2630	1700	4635	1790	NULL	1428	572	102.00	NULL	5200	198	NULL	4400	91	5	XTRAIL2AST5	JAPAN	4	4 Stroke	In-line	Front	MR20 ######?	NULL	225/60 R17	225/60 R17	17x7.0	17x7.0	1300	750	3yr roadside assist	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	199	243	173	10.30	7.30	8.40	Euro 4	NULL	4	SUV	Medium	< $60K	T	100	60	12500	15500	14200	17500	10900	12800	15900	30990	White	Dubbo (NSW)	Auction	2017-05-04 00:00:00.000	04/2013	49	55409	13500.00
Toyota	Fortuner	TOYO	FORTUNE	2015	8	5	GUN156R Crusade Wagon 7st 5dr Auto 6sp 4x4 2.8DT	F	L	F	GUN156R	NULL	Crusade	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 Dual Range	4XD	Automatic	S/Wheel & Floor	6	5	2755	2.8	4	Diesel	Turbo Intercooled	SUV	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	NULL	2750	MR0DA3FS80#######	2750	1835	4795	1855	2135	2095	NULL	130.00	NULL	3400	450	1600	2400	NULL	7	GUN156R-STTMHQ	THAILAND	4	4 Stroke	In-line	Front	1GD #######	NULL	265/60 R18	265/60 R18	18x7.5	18x7.5	2800	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	228	290	192	11.00	7.30	8.60	Euro 5	NULL	5	SUV	Large	< $70K	T	50	30	39950	46850	43550	50900	36900	40700	47200	61990	8X2 - Nebula Blue (T)	Perth (WA)	Dealer Only Auction	2016-06-29 00:00:00.000	08/2015	10	10414	48250.00
Holden	Colorado	HOLD	COLORAD	2014	0	22	RG MY14 LT Utility Crew Cab 4dr. Spts Auto 6sp 4x4 1090kg 2.8DT	F	L	F	RG	MY14	LT	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4 Dual Range	4XD	Sports Automatic	Floor	6	4	2776	2.8	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	6000	3150	MMU148FK0EH######	3096	1780	5347	1882	2060	2005	1090	147.00	NULL	3600	500	2000	2200	NULL	5	82G43374	THAILAND	4	4 Stroke	In-line	Front	*** G102######	NULL	245/70 R16	245/70 R16	16x6.5	16x6.5	3500	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	3.00	2.50	241	316	199	11.80	7.40	9.00	Euro 4	NULL	5	Light Commercial	PU/CC 4x4	NULL	T	90	60	26250	31200	28900	34250	23800	26700	31600	48190	White	Belmore (NSW)	Auction	2017-04-24 00:00:00.000	01/2014	39	90322	25800.00
Toyota	Camry	TOYO	CAMRY	2013	0	0	ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i	F	L	F	ASV50R	NULL	Altise	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	2494	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3300	2100	6T1BF3FK90#######	2775	1470	4815	1825	1465	1420	635	133.00	NULL	6000	231	NULL	4100	91	5	ASV50R-DETDKQ	AUSTRALIA	4	4 Stroke	In-line	Front	2AZR-#######	9.30	215/60 R16	215/60 R16	16x6.5	16x6.5	1200	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	183	255	142	10.90	6.00	7.80	Euro 4	E10	5	Passenger	Medium	< $60K	T	100	60	9700	12650	11450	14450	8500	10300	13000	30490	Black	Belmore (NSW)	Fixed Price	2017-02-24 00:00:00.000	11/2013	39	47327	15390.00
Ford	Ranger	FORD	RANGER	2012	0	9	PX XL Hi-Rider Utility Double Cab 4dr Man 6sp 4x2 1271kg 2.2DT	F	L	F	PX	NULL	XL	Hi-Rider	Utility	Dual Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Manual	Floor	6	4	2198	2.2	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	5950	3200	MNAUMEF80C*######	3220	1815	5359	1850	1929	1879	1271	110.00	NULL	3700	375	1500	2500	NULL	5	NULL	THAILAND	4	4 Stroke	In-line	Front	P4AT-######	NULL	255/70 R16	255/70 R16	16x7.0	16x7.0	3350	750	1 year roadside	NULL	3	100000	NULL	NULL	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	203	NULL	NULL	NULL	NULL	7.60	NULL	NULL	5	Light Commercial	PU/CC 4X2	NULL	T	150	100	15500	19050	17550	21350	13600	15800	19500	34990	White	Darwin (NT)	Auction	2017-02-23 00:00:00.000	04/2012	58	53852	19250.00
